Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,xG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
André Silva,pt POR,FW,Eint Frankfurt,de Bundesliga,24.0,1995.0,30.07,28.0,110.0,53.0,25.06,48.2,3.59,1.73,0.19,0.4,13.03
André Silva,pt POR,FW,RB Leipzig,de Bundesliga,25.0,1995.0,23.01,11.0,55.0,23.0,12.06,41.8,2.38,1.0,0.15,0.35,11.08
André Silva,pt POR,FW,RB Leipzig,de Bundesliga,26.0,1995.0,19.03,4.0,60.0,22.0,9.02,36.7,3.11,1.14,0.07,0.18,13.05
André Silva,pt POR,FW,Real Sociedad,es La Liga,27.0,1995.0,8.01,3.0,15.0,5.0,3.03,33.3,1.85,0.62,0.13,0.4,19.01
Andrés Guardado,mx MEX,MF,Betis,es La Liga,32.0,1986.0,22.07,0.0,12.0,4.0,1.0,33.3,0.53,0.18,0.0,0.0,22.03
Andrés Guardado,mx MEX,MF,Betis,es La Liga,33.0,1986.0,14.06,1.0,11.0,5.0,0.3,45.5,0.75,0.34,0.09,0.2,24.03
Andrés Guardado,mx MEX,MF,Betis,es La Liga,34.0,1986.0,15.05,0.0,15.0,3.0,0.9,20.0,0.97,0.19,0.0,0.0,24.05
Andrés Guardado,mx MEX,MF,Betis,es La Liga,35.0,1986.0,15.03,1.0,8.0,3.0,0.3,37.5,0.52,0.2,0.13,0.33,23.02
Andrés Guardado,mx MEX,MF,Betis,es La Liga,36.0,1986.0,5.0,0.0,5.0,0.0,0.1,0.0,1.01,0.0,0.0,0.0,24.04
Angeliño,es ESP,DF-FW,RB Leipzig,de Bundesliga,22,1997,16.09,1.0,10.0,2.0,1.1,20.0,0.74,0.08,0.1,0.5,15.56
Angeliño,es ESP,DF-FW,RB Leipzig,de Bundesliga,23,1997,24.0,4.0,35.0,13.0,4.02,37.1,1.46,0.54,0.11,0.31,16.01
Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24.0,1997.0,25.05,2.0,12.0,6.0,1.02,50.0,0.47,0.23,0.17,0.33,16.01
Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,25.0,1997.0,29.01,0.0,21.0,4.0,1.01,19.0,0.72,0.14,0.0,0.0,20.05
Angeliño,es ESP,DF,Roma,it Serie A,26.0,1997.0,12.07,0.0,8.0,2.0,0.2,25.0,0.63,0.16,0.0,0.0,24.01
Angelo Fulgini,fr FRA,MF,Angers,fr Ligue 1,22.0,1996.0,17.05,1.0,35.0,16.0,3.01,45.7,1.99,0.91,0.03,0.06,19.0
Angelo Fulgini,fr FRA,MF,Angers,fr Ligue 1,23.0,1996.0,30.03,7.0,65.0,28.0,5.04,43.1,2.15,0.92,0.09,0.21,20.04
Angelo Fulgini,fr FRA,MF-FW,Angers,fr Ligue 1,24,1996,32.5,5.0,58.0,17.0,5.08,29.03,1.78,0.52,0.09,0.29,16.05
Angelo Fulgini,fr FRA,MF,Mainz 05,de Bundesliga,25.0,1996.0,14.13,1.0,20.0,12.0,1.63,58.35,1.32,0.76,0.04,0.06,16.56
Angelo Fulgini,fr FRA,MF,Lens,fr Ligue 1,26.0,1996.0,15.03,1.0,46.0,10.0,3.02,21.07,3.01,0.65,0.02,0.1,19.0
Angelo Ogbonna,it ITA,DF,West Ham,eng Premier League,31.0,1988.0,31.0,2.0,13.0,4.0,1.08,30.08,0.42,0.13,0.15,0.5,11.0
Angelo Ogbonna,it ITA,DF,West Ham,eng Premier League,32.0,1988.0,27.07,3.0,13.0,4.0,1.07,30.08,0.47,0.14,0.23,0.75,7.03
Angelo Ogbonna,it ITA,DF,West Ham,eng Premier League,33.0,1988.0,10.02,1.0,3.0,1.0,0.3,33.3,0.29,0.1,0.33,1.0,12.06
Angelo Ogbonna,it ITA,DF,West Ham,eng Premier League,34.0,1988.0,13.07,0.0,3.0,0.0,0.3,0.0,0.22,0.0,0.0,0.0,12.06
Angelo Ogbonna,it ITA,DF,West Ham,eng Premier League,35.0,1988.0,7.01,0.0,1.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,12.05
Ansu Fati,es ESP,FW,Barcelona,es La Liga,16.0,2002.0,11.04,7.0,33.0,12.0,3.08,36.4,2.89,1.05,0.21,0.58,15.06
Ansu Fati,es ESP,FW,Barcelona,es La Liga,17.0,2002.0,4.08,4.0,14.0,7.0,1.08,50.0,2.92,1.46,0.29,0.57,15.05
Ansu Fati,es ESP,FW,Barcelona,es La Liga,18.0,2002.0,3.07,4.0,18.0,8.0,1.03,44.4,4.82,2.14,0.22,0.5,17.03
Ansu Fati,es ESP,FW,Barcelona,es La Liga,19.0,2002.0,15.05,7.0,61.0,18.0,9.01,29.05,3.94,1.16,0.11,0.39,15.0
